board_size,num_colors,density,total_runs,ga_success_rate,bt_success_rate,total_success_rate,avg_ga_time,avg_bt_time,avg_total_time,avg_fitness,avg_fitness_evals,avg_generations,avg_generations_to_solution,is_solvable,difficulty_score
4,4,0.2500,15,1.0000,0.0000,1.0000,0.0542,0.0000,0.0542,12764.7600,640,3,3.20,True,19.95
4,5,0.3125,15,1.0000,0.0000,1.0000,0.0676,0.0000,0.0676,15969.5600,813,4,4.07,True,25.02
4,6,0.3750,15,1.0000,0.0000,1.0000,0.0517,0.0000,0.0517,19171.6933,613,3,3.07,True,19.06
5,7,0.2800,15,1.0000,0.0000,1.0000,0.1057,0.0000,0.1057,19138.3067,853,4,4.27,True,34.95
5,8,0.3200,15,1.0000,0.0000,1.0000,0.1134,0.0000,0.1134,19137.8400,960,4,4.80,True,37.95
5,9,0.3600,15,1.0000,0.0000,1.0000,0.0489,0.0000,0.0489,19129.7600,413,2,2.07,True,16.34
6,10,0.2778,15,1.0000,0.0000,1.0000,0.2387,0.0000,0.2387,19021.2133,1480,7,7.40,True,74.46
7,14,0.2857,15,1.0000,0.0000,1.0000,0.2489,0.0000,0.2489,18846.6000,1200,6,6.00,True,74.22
