board_size,num_colors,density,run_id,ga_success,ga_time,ga_generations,ga_fitness_evals,ga_generations_to_solution,final_fitness,bt_used,bt_time,bt_success,total_time,solved
5,7,0.2800,13,True,0.1218,5,1000,5,19138.0000,False,0.0000,False,0.1218,True
5,7,0.2800,14,True,0.0478,2,400,2,19143.4000,False,0.0000,False,0.0478,True
5,8,0.3200,0,True,0.1861,8,1600,8,19143.0000,False,0.0000,False,0.1861,True
5,8,0.3200,1,True,0.0246,1,200,1,19143.4000,False,0.0000,False,0.0246,True
5,8,0.3200,2,True,0.0246,1,200,1,19138.8000,False,0.0000,False,0.0246,True
5,8,0.3200,3,True,0.2559,11,2200,11,19133.8000,False,0.0000,False,0.2559,True
5,8,0.3200,4,True,0.0249,1,200,1,19133.8000,False,0.0000,False,0.0249,True
5,8,0.3200,5,True,0.0466,2,400,2,19129.2000,False,0.0000,False,0.0466,True
5,8,0.3200,6,True,0.0518,2,400,2,19133.8000,False,0.0000,False,0.0518,True
5,8,0.3200,7,True,0.0725,3,600,3,19138.4000,False,0.0000,False,0.0725,True
5,8,0.3200,8,True,0.1648,7,1400,7,19138.0000,False,0.0000,False,0.1648,True
5,8,0.3200,9,True,0.1867,8,1600,8,19133.8000,False,0.0000,False,0.1867,True
5,8,0.3200,10,True,0.1670,7,1400,7,19138.4000,False,0.0000,False,0.1670,True
5,8,0.3200,11,True,0.0963,4,800,4,19143.4000,False,0.0000,False,0.0963,True
5,8,0.3200,12,True,0.1628,7,1400,7,19138.0000,False,0.0000,False,0.1628,True
5,8,0.3200,13,True,0.2112,9,1800,9,19143.0000,False,0.0000,False,0.2112,True
5,8,0.3200,14,True,0.0253,1,200,1,19138.8000,False,0.0000,False,0.0253,True
5,9,0.3600,0,True,0.0485,2,400,2,19129.2000,False,0.0000,False,0.0485,True
5,9,0.3600,1,True,0.0923,4,800,4,19133.8000,False,0.0000,False,0.0923,True
5,9,0.3600,2,True,0.0260,1,200,1,19129.6000,False,0.0000,False,0.0260,True
5,9,0.3600,3,True,0.0463,2,400,2,19129.2000,False,0.0000,False,0.0463,True
5,9,0.3600,4,True,0.0240,1,200,1,19114.2000,False,0.0000,False,0.0240,True
5,9,0.3600,5,True,0.0479,2,400,2,19133.8000,False,0.0000,False,0.0479,True
5,9,0.3600,6,True,0.0247,1,200,1,19129.6000,False,0.0000,False,0.0247,True
5,9,0.3600,7,True,0.1164,5,1000,5,19129.2000,False,0.0000,False,0.1164,True
5,9,0.3600,8,True,0.0469,2,400,2,19133.8000,False,0.0000,False,0.0469,True
5,9,0.3600,9,True,0.0474,2,400,2,19133.8000,False,0.0000,False,0.0474,True
5,9,0.3600,10,True,0.0473,2,400,2,19133.8000,False,0.0000,False,0.0473,True
5,9,0.3600,11,True,0.0474,2,400,2,19124.6000,False,0.0000,False,0.0474,True
5,9,0.3600,12,True,0.0466,2,400,2,19133.8000,False,0.0000,False,0.0466,True
5,9,0.3600,13,True,0.0249,1,200,1,19124.2000,False,0.0000,False,0.0249,True
5,9,0.3600,14,True,0.0461,2,400,2,19133.8000,False,0.0000,False,0.0461,True
6,10,0.2778,0,True,0.1607,5,1000,5,18597.2000,False,0.0000,False,0.1607,True
6,10,0.2778,1,True,0.3813,12,2400,12,19090.0000,False,0.0000,False,0.3813,True
6,10,0.2778,2,True,0.5472,16,3200,16,19091.2000,False,0.0000,False,0.5472,True
6,10,0.2778,3,True,0.0676,2,400,2,19081.2000,False,0.0000,False,0.0676,True
6,10,0.2778,4,True,0.4768,15,3000,15,19091.2000,False,0.0000,False,0.4768,True
6,10,0.2778,5,True,0.1595,5,1000,5,19075.8000,False,0.0000,False,0.1595,True
6,10,0.2778,6,True,0.3194,10,2000,10,19086.2000,False,0.0000,False,0.3194,True
6,10,0.2778,7,True,0.0683,2,400,2,19081.2000,False,0.0000,False,0.0683,True
6,10,0.2778,8,True,0.2208,7,1400,7,19090.8000,False,0.0000,False,0.2208,True
6,10,0.2778,9,True,0.2234,7,1400,7,19090.0000,False,0.0000,False,0.2234,True
6,10,0.2778,10,True,0.0987,3,600,3,19086.6000,False,0.0000,False,0.0987,True
6,10,0.2778,11,True,0.1277,4,800,4,18589.4000,False,0.0000,False,0.1277,True
6,10,0.2778,12,True,0.0664,2,400,2,19085.8000,False,0.0000,False,0.0664,True
6,10,0.2778,13,True,0.4371,14,2800,14,19091.6000,False,0.0000,False,0.4371,True
6,10,0.2778,14,True,0.2249,7,1400,7,19090.0000,False,0.0000,False,0.2249,True
7,14,0.2857,0,True,0.3326,8,1600,8,19014.0000,False,0.0000,False,0.3326,True
7,14,0.2857,1,True,0.1405,3,600,3,19004.0000,False,0.0000,False,0.1405,True
7,14,0.2857,2,True,0.1231,3,600,3,18529.2000,False,0.0000,False,0.1231,True
7,14,0.2857,3,True,0.1740,4,800,4,18534.2000,False,0.0000,False,0.1740,True
7,14,0.2857,4,True,0.1281,3,600,3,19004.8000,False,0.0000,False,0.1281,True
7,14,0.2857,5,True,0.6733,16,3200,16,19013.2000,False,0.0000,False,0.6733,True
7,14,0.2857,6,True,0.0452,1,200,1,18994.8000,False,0.0000,False,0.0452,True
7,14,0.2857,7,True,0.1311,3,600,3,19005.2000,False,0.0000,False,0.1311,True
7,14,0.2857,8,True,0.1678,4,800,4,18994.8000,False,0.0000,False,0.1678,True
7,14,0.2857,9,True,0.4073,10,2000,10,18047.0000,False,0.0000,False,0.4073,True
7,14,0.2857,10,True,0.2464,6,1200,6,19007.0000,False,0.0000,False,0.2464,True
7,14,0.2857,11,True,0.2023,5,1000,5,18523.0000,False,0.0000,False,0.2023,True
7,14,0.2857,12,True,0.3905,10,2000,10,19009.0000,False,0.0000,False,0.3905,True
7,14,0.2857,13,True,0.1614,4,800,4,19004.8000,False,0.0000,False,0.1614,True
7,14,0.2857,14,True,0.4095,10,2000,10,19014.0000,False,0.0000,False,0.4095,True
