config_id,pop_size,generations,mut_rate,elite,tour_k,board_size,num_colors,run_number,success,time,generations_executed,generations_to_solution,fitness_evals,final_fitness,fitness_improvement,diversity_loss
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,5,2,1,True,0.0075,1,1,100,6293.20,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,5,2,2,True,0.0237,3,3,300,6302.00,4653.40,-0.0060
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,5,2,3,True,0.0079,1,1,100,6292.80,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,5,2,4,True,0.0075,1,1,100,6293.60,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,5,2,5,True,0.0075,1,1,100,6293.20,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,5,2,6,True,0.0077,1,1,100,6300.80,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,5,2,7,True,0.0493,7,7,700,6300.40,4692.60,-0.0310
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,5,2,8,True,0.1288,17,17,1700,6300.00,4787.00,-0.0740
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,5,2,9,True,0.0079,1,1,100,6292.80,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,5,2,10,True,0.0076,1,1,100,6293.60,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,5,2,1,True,0.0239,3,3,300,6302.00,4653.40,-0.0060
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,5,2,2,True,0.0074,1,1,100,6293.20,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,5,2,3,True,0.0226,3,3,300,6301.60,4710.40,-0.0020
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,5,2,4,True,0.0077,1,1,100,6292.80,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,5,2,5,True,0.0073,1,1,100,6292.80,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,5,2,6,True,0.0237,3,3,300,6302.00,4653.40,-0.0090
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,5,2,7,True,0.0075,1,1,100,6300.80,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,5,2,8,True,0.0075,1,1,100,6292.80,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,5,2,9,True,0.0077,1,1,100,6292.80,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,5,2,10,True,0.0079,1,1,100,6293.20,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour5,100,500,0.0100,0,5,5,2,1,True,0.0243,3,3,300,6302.00,4653.40,-0.0240
