config_id,pop_size,generations,mut_rate,elite,tour_k,board_size,num_colors,run_number,success,time,generations_executed,generations_to_solution,fitness_evals,final_fitness,fitness_improvement,diversity_loss
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,10,5,1,True,0.2393,6,6,900,15531.40,9747.60,-0.0400
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,10,5,2,False,27.8207,677,,101700,15504.00,9445.40,-0.0060
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,10,5,3,True,0.1670,4,4,600,15478.40,9159.80,-0.0160
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,10,5,4,False,31.1110,760,,114150,15503.20,5017.60,-0.0070
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,10,5,5,True,0.8669,21,21,3150,15539.80,14263.80,-0.1000
pop150_gen800_mut0.02_elite1_tour3,150,800,0.0200,1,3,10,5,1,True,0.4495,11,11,1650,15515.00,9422.40,-0.0690
pop150_gen800_mut0.02_elite1_tour3,150,800,0.0200,1,3,10,5,2,False,21.5162,526,,79050,15488.80,18846.00,-0.0050
pop150_gen800_mut0.02_elite1_tour3,150,800,0.0200,1,3,10,5,3,True,0.3300,8,8,1200,15532.20,9586.20,-0.0430
pop150_gen800_mut0.02_elite1_tour3,150,800,0.0200,1,3,10,5,4,True,1.0805,27,27,4050,15503.60,9459.60,-0.0650
pop150_gen800_mut0.02_elite1_tour3,150,800,0.0200,1,3,10,5,5,True,0.0869,2,2,300,15513.00,4659.40,-0.0060
pop150_gen800_mut0.02_elite1_tour4,150,800,0.0200,1,4,10,5,1,True,0.0529,1,1,150,15521.00,0.00,0.0000
pop150_gen800_mut0.02_elite1_tour4,150,800,0.0200,1,4,10,5,2,True,0.0530,1,1,150,15511.80,0.00,0.0000
pop150_gen800_mut0.02_elite1_tour4,150,800,0.0200,1,4,10,5,3,True,0.7031,17,17,2550,15557.80,19108.80,-0.0970
pop150_gen800_mut0.02_elite1_tour4,150,800,0.0200,1,4,10,5,4,True,12.6625,324,324,48600,15564.40,19153.60,-0.0200
pop150_gen800_mut0.02_elite1_tour4,150,800,0.0200,1,4,10,5,5,True,0.1353,3,3,450,15509.80,9204.00,-0.0190
pop175_gen800_mut0.02_elite1_tour2,175,800,0.0200,1,2,10,5,1,True,1.4879,52,52,9100,15522.20,9609.20,-0.0740
pop175_gen800_mut0.02_elite1_tour2,175,800,0.0200,1,2,10,5,2,True,0.0647,1,1,175,15502.60,0.00,0.0000
pop175_gen800_mut0.02_elite1_tour2,175,800,0.0200,1,2,10,5,3,True,0.4634,9,9,1575,15515.20,9369.40,-0.0640
pop175_gen800_mut0.02_elite1_tour2,175,800,0.0200,1,2,10,5,4,True,4.3352,87,87,15225,15547.40,19303.20,-0.0720
pop175_gen800_mut0.02_elite1_tour2,175,800,0.0200,1,2,10,5,5,True,2.0842,41,41,7175,15539.40,19231.00,-0.0800
pop175_gen800_mut0.02_elite1_tour3,175,800,0.0200,1,3,10,5,1,True,3.6454,71,71,12425,15506.80,4771.40,-0.0180
pop175_gen800_mut0.02_elite1_tour3,175,800,0.0200,1,3,10,5,2,True,0.0644,1,1,175,15503.00,0.00,0.0000
pop175_gen800_mut0.02_elite1_tour3,175,800,0.0200,1,3,10,5,3,False,24.7713,485,,85050,15465.60,14368.40,-0.0100
pop175_gen800_mut0.02_elite1_tour3,175,800,0.0200,1,3,10,5,4,True,1.3062,27,27,4725,15555.80,14606.00,-0.0780
pop175_gen800_mut0.02_elite1_tour3,175,800,0.0200,1,3,10,5,5,True,0.4175,8,8,1400,15539.00,4838.00,-0.0660
pop175_gen800_mut0.02_elite1_tour4,175,800,0.0200,1,4,10,5,1,True,0.9052,17,17,2975,15578.20,14990.20,-0.0620
pop175_gen800_mut0.02_elite1_tour4,175,800,0.0200,1,4,10,5,2,True,0.0669,1,1,175,15519.60,0.00,0.0000
pop175_gen800_mut0.02_elite1_tour4,175,800,0.0200,1,4,10,5,3,True,3.0819,59,59,10325,15520.60,9531.00,-0.0470
pop175_gen800_mut0.02_elite1_tour4,175,800,0.0200,1,4,10,5,4,True,2.4995,48,48,8400,15537.40,14315.80,-0.0520
pop175_gen800_mut0.02_elite1_tour4,175,800,0.0200,1,4,10,5,5,True,2.1941,42,42,7350,15562.80,9905.00,-0.0600
pop200_gen800_mut0.02_elite1_tour2,200,800,0.0200,1,2,10,5,1,True,0.3667,6,6,1200,15531.80,4763.00,-0.0360
pop200_gen800_mut0.02_elite1_tour2,200,800,0.0200,1,2,10,5,2,True,8.0795,121,121,24200,15550.80,9828.00,-0.0880
pop200_gen800_mut0.02_elite1_tour2,200,800,0.0200,1,2,10,5,3,True,0.6620,11,11,2200,15528.20,14539.60,-0.0610
pop200_gen800_mut0.02_elite1_tour2,200,800,0.0200,1,2,10,5,4,False,37.4032,584,,117000,15409.20,9450.80,-0.0100
pop200_gen800_mut0.02_elite1_tour2,200,800,0.0200,1,2,10,5,5,False,40.4871,628,,125800,15504.00,9545.00,-0.0050
pop200_gen800_mut0.02_elite1_tour3,200,800,0.0200,1,3,10,5,1,True,1.9928,31,31,6200,15567.80,14644.00,-0.0800
pop200_gen800_mut0.02_elite1_tour3,200,800,0.0200,1,3,10,5,2,True,0.3139,5,5,1000,15485.40,4688.40,-0.0250
pop200_gen800_mut0.02_elite1_tour3,200,800,0.0200,1,3,10,5,3,True,0.7666,12,12,2400,15522.00,4727.40,-0.0930
pop200_gen800_mut0.02_elite1_tour3,200,800,0.0200,1,3,10,5,4,True,0.8873,14,14,2800,15512.80,9629.00,-0.0870
pop200_gen800_mut0.02_elite1_tour3,200,800,0.0200,1,3,10,5,5,True,1.1862,19,19,3800,15534.00,14201.60,-0.0820
pop200_gen800_mut0.02_elite1_tour4,200,800,0.0200,1,4,10,5,1,True,0.1334,2,2,400,15518.00,4623.40,-0.0070
pop200_gen800_mut0.02_elite1_tour4,200,800,0.0200,1,4,10,5,2,True,0.3169,5,5,1000,15517.60,4748.40,-0.0280
pop200_gen800_mut0.02_elite1_tour4,200,800,0.0200,1,4,10,5,3,False,49.4332,800,,160000,15437.20,9804.80,-0.0150
pop200_gen800_mut0.02_elite1_tour4,200,800,0.0200,1,4,10,5,4,True,0.1957,3,3,600,15496.40,4566.00,-0.0130
pop200_gen800_mut0.02_elite1_tour4,200,800,0.0200,1,4,10,5,5,False,37.9965,592,,118600,15489.00,4810.40,-0.0110
pop225_gen800_mut0.02_elite1_tour2,225,800,0.0200,1,2,10,5,1,True,2.5635,34,34,7650,15547.00,19264.20,-0.1080
pop225_gen800_mut0.02_elite1_tour2,225,800,0.0200,1,2,10,5,2,True,1.6289,21,21,4725,15539.80,4965.20,-0.0860
pop225_gen800_mut0.02_elite1_tour2,225,800,0.0200,1,2,10,5,3,True,0.2913,4,4,900,15508.40,9426.80,-0.0210
pop225_gen800_mut0.02_elite1_tour2,225,800,0.0200,1,2,10,5,4,True,4.0236,54,54,12150,15555.40,19418.60,-0.1050
pop225_gen800_mut0.02_elite1_tour2,225,800,0.0200,1,2,10,5,5,False,61.3720,800,,180000,15442.20,9748.20,-0.0210
pop225_gen800_mut0.02_elite1_tour3,225,800,0.0200,1,3,10,5,1,True,0.0952,1,1,225,15525.00,0.00,0.0000
pop225_gen800_mut0.02_elite1_tour3,225,800,0.0200,1,3,10,5,2,True,0.1592,2,2,450,15498.40,4623.40,-0.0070
pop225_gen800_mut0.02_elite1_tour3,225,800,0.0200,1,3,10,5,3,True,2.9389,38,38,8550,15564.80,14349.40,-0.0460
pop225_gen800_mut0.02_elite1_tour3,225,800,0.0200,1,3,10,5,4,True,0.4490,6,6,1350,15531.80,9824.40,-0.0300
pop225_gen800_mut0.02_elite1_tour3,225,800,0.0200,1,3,10,5,5,True,3.3879,43,43,9675,15597.40,14735.80,-0.0790
pop225_gen800_mut0.02_elite1_tour4,225,800,0.0200,1,4,10,5,1,True,2.3203,30,30,6750,15524.00,9514.20,-0.0880
pop225_gen800_mut0.02_elite1_tour4,225,800,0.0200,1,4,10,5,2,True,0.8754,12,12,2700,15507.20,14060.00,-0.0610
pop225_gen800_mut0.02_elite1_tour4,225,800,0.0200,1,4,10,5,3,True,2.5987,35,35,7875,15558.60,14769.00,-0.0510
pop225_gen800_mut0.02_elite1_tour4,225,800,0.0200,1,4,10,5,4,True,1.4457,34,34,7650,15494.80,4888.20,-0.0440
pop225_gen800_mut0.02_elite1_tour4,225,800,0.0200,1,4,10,5,5,True,1.6357,21,21,4725,15568.60,10216.40,-0.0780
pop250_gen800_mut0.02_elite1_tour2,250,800,0.0200,1,2,10,5,1,True,0.1088,1,1,250,15519.80,0.00,0.0000
pop250_gen800_mut0.02_elite1_tour2,250,800,0.0200,1,2,10,5,2,True,3.7520,41,41,10250,15588.20,10189.20,-0.0870
pop250_gen800_mut0.02_elite1_tour2,250,800,0.0200,1,2,10,5,3,True,0.1872,2,2,500,15515.00,4753.40,-0.0060
pop250_gen800_mut0.02_elite1_tour2,250,800,0.0200,1,2,10,5,4,True,0.1153,1,1,250,15520.20,0.00,0.0000
pop250_gen800_mut0.02_elite1_tour2,250,800,0.0200,1,2,10,5,5,True,3.1899,36,36,9000,15527.80,5163.00,-0.0930
pop250_gen800_mut0.02_elite1_tour3,250,800,0.0200,1,3,10,5,1,False,46.3336,564,,141250,10356.40,4577.80,-0.0050
pop250_gen800_mut0.02_elite1_tour3,250,800,0.0200,1,3,10,5,2,True,0.1912,2,2,500,15498.40,4563.40,-0.0060
