config_id,pop_size,generations,mut_rate,elite,tour_k,board_size,num_colors,run_number,success,time,generations_executed,generations_to_solution,fitness_evals,final_fitness,fitness_improvement,diversity_loss
pop200_gen1000_mut0.03_elite2_tour3,200,1000,0.0300,2,3,4,3,9,True,0.0234,2,2,400,9549.40,4623.40,-0.0070
pop200_gen1000_mut0.03_elite2_tour3,200,1000,0.0300,2,3,4,3,10,True,0.0238,2,2,400,9554.40,4673.40,-0.0080
pop200_gen1000_mut0.05_elite2_tour3,200,1000,0.0500,2,3,4,3,1,True,0.0240,2,2,400,9568.60,4741.40,-0.0320
pop200_gen1000_mut0.05_elite2_tour3,200,1000,0.0500,2,3,4,3,2,True,0.0353,3,3,600,9568.60,9414.80,-0.0620
pop200_gen1000_mut0.05_elite2_tour3,200,1000,0.0500,2,3,4,3,3,True,0.0348,3,3,600,9568.60,9407.80,-0.0650
pop200_gen1000_mut0.05_elite2_tour3,200,1000,0.0500,2,3,4,3,4,True,0.0495,4,4,800,9563.60,9413.20,-0.1030
pop200_gen1000_mut0.05_elite2_tour3,200,1000,0.0500,2,3,4,3,5,True,0.0158,1,1,200,9559.40,0.00,0.0000
pop200_gen1000_mut0.05_elite2_tour3,200,1000,0.0500,2,3,4,3,6,True,0.0140,1,1,200,9559.40,0.00,0.0000
pop200_gen1000_mut0.05_elite2_tour3,200,1000,0.0500,2,3,4,3,7,True,0.0250,2,2,400,9554.40,4623.40,-0.0200
pop200_gen1000_mut0.05_elite2_tour3,200,1000,0.0500,2,3,4,3,8,True,0.0298,2,2,400,9558.20,4627.60,-0.0240
pop200_gen1000_mut0.05_elite2_tour3,200,1000,0.0500,2,3,4,3,9,True,0.0291,2,2,400,9558.60,4736.40,-0.0270
pop200_gen1000_mut0.05_elite2_tour3,200,1000,0.0500,2,3,4,3,10,True,0.0135,1,1,200,9559.40,0.00,0.0000
pop200_gen1000_mut0.08_elite2_tour3,200,1000,0.0800,2,3,4,3,1,True,0.0140,1,1,200,9544.40,0.00,0.0000
pop200_gen1000_mut0.08_elite2_tour3,200,1000,0.0800,2,3,4,3,2,True,0.0179,1,1,200,9554.00,0.00,0.0000
pop200_gen1000_mut0.08_elite2_tour3,200,1000,0.0800,2,3,4,3,3,True,0.0149,1,1,200,9559.40,0.00,0.0000
pop200_gen1000_mut0.08_elite2_tour3,200,1000,0.0800,2,3,4,3,4,True,0.0136,1,1,200,9559.40,0.00,0.0000
pop200_gen1000_mut0.08_elite2_tour3,200,1000,0.0800,2,3,4,3,5,True,0.0243,2,2,400,9563.60,4683.40,-0.0370
pop200_gen1000_mut0.08_elite2_tour3,200,1000,0.0800,2,3,4,3,6,True,0.0333,2,2,400,9558.60,4736.40,-0.0420
pop200_gen1000_mut0.08_elite2_tour3,200,1000,0.0800,2,3,4,3,7,True,0.0364,3,3,600,9554.80,4688.80,-0.0730
pop200_gen1000_mut0.08_elite2_tour3,200,1000,0.0800,2,3,4,3,8,True,0.0233,2,2,400,9563.60,4736.40,-0.0430
pop200_gen1000_mut0.08_elite2_tour3,200,1000,0.0800,2,3,4,3,9,True,0.0364,3,3,600,9554.40,4688.40,-0.0870
pop200_gen1000_mut0.08_elite2_tour3,200,1000,0.0800,2,3,4,3,10,True,0.0250,2,2,400,9554.00,4683.40,-0.0380
pop200_gen1000_mut0.1_elite2_tour3,200,1000,0.1000,2,3,4,3,1,True,0.0241,2,2,400,9568.60,4741.40,-0.0510
pop200_gen1000_mut0.1_elite2_tour3,200,1000,0.1000,2,3,4,3,2,True,0.0133,1,1,200,9554.00,0.00,0.0000
pop200_gen1000_mut0.1_elite2_tour3,200,1000,0.1000,2,3,4,3,3,True,0.0245,2,2,400,9559.00,4734.80,-0.0660
pop200_gen1000_mut0.1_elite2_tour3,200,1000,0.1000,2,3,4,3,4,True,0.0247,2,2,400,9554.00,4623.40,-0.0430
pop200_gen1000_mut0.1_elite2_tour3,200,1000,0.1000,2,3,4,3,5,True,0.0239,2,2,400,9558.60,4736.40,-0.0490
pop200_gen1000_mut0.1_elite2_tour3,200,1000,0.1000,2,3,4,3,6,True,0.0242,2,2,400,9554.40,4623.40,-0.0320
pop200_gen1000_mut0.1_elite2_tour3,200,1000,0.1000,2,3,4,3,7,True,0.0365,3,3,600,9554.40,4688.40,-0.0860
pop200_gen1000_mut0.1_elite2_tour3,200,1000,0.1000,2,3,4,3,8,True,0.0233,2,2,400,9549.40,4623.40,-0.0220
pop200_gen1000_mut0.1_elite2_tour3,200,1000,0.1000,2,3,4,3,9,True,0.0131,1,1,200,9544.80,0.00,0.0000
pop200_gen1000_mut0.1_elite2_tour3,200,1000,0.1000,2,3,4,3,10,True,0.0236,2,2,400,9563.60,9412.80,-0.0540
pop200_gen1000_mut0.15_elite2_tour3,200,1000,0.1500,2,3,4,3,1,True,0.0234,2,2,400,9568.60,9407.80,-0.0930
pop200_gen1000_mut0.15_elite2_tour3,200,1000,0.1500,2,3,4,3,2,True,0.0133,1,1,200,9549.80,0.00,0.0000
pop200_gen1000_mut0.15_elite2_tour3,200,1000,0.1500,2,3,4,3,3,True,0.0365,3,3,600,9558.60,4743.00,-0.1300
pop200_gen1000_mut0.15_elite2_tour3,200,1000,0.1500,2,3,4,3,4,True,0.0231,2,2,400,9558.60,4736.40,-0.0830
pop200_gen1000_mut0.15_elite2_tour3,200,1000,0.1500,2,3,4,3,5,True,0.0240,2,2,400,9553.60,4738.00,-0.0740
pop200_gen1000_mut0.15_elite2_tour3,200,1000,0.1500,2,3,4,3,6,True,0.0133,1,1,200,9559.40,0.00,0.0000
pop200_gen1000_mut0.15_elite2_tour3,200,1000,0.1500,2,3,4,3,7,True,0.0231,2,2,400,9558.60,4736.40,-0.0790
pop200_gen1000_mut0.15_elite2_tour3,200,1000,0.1500,2,3,4,3,8,True,0.0369,3,3,600,9559.40,4693.40,-0.1290
pop200_gen1000_mut0.15_elite2_tour3,200,1000,0.1500,2,3,4,3,9,True,0.0246,2,2,400,9554.00,4623.40,-0.0620
pop200_gen1000_mut0.15_elite2_tour3,200,1000,0.1500,2,3,4,3,10,True,0.0237,2,2,400,9554.00,4736.40,-0.0610
