config_id,pop_size,generations,mut_rate,elite,tour_k,board_size,num_colors,run_number,success,time,generations_executed,generations_to_solution,fitness_evals,final_fitness,fitness_improvement,diversity_loss
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,6,5,1,True,0.2359,23,23,2300,15897.00,9544.00,-0.0570
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,6,5,2,True,0.0905,9,9,900,15873.20,14029.20,-0.0670
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,6,5,3,True,0.0730,7,7,700,15872.00,4796.00,-0.0450
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,6,5,4,True,0.1315,12,12,1200,15881.60,9349.00,-0.0800
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,6,5,5,True,0.3123,29,29,2900,15921.20,14325.60,-0.0530
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,6,5,6,True,0.1101,10,10,1000,15877.80,9306.80,-0.0380
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,6,5,7,True,0.0658,6,6,600,15882.40,9349.80,-0.0410
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,6,5,8,True,0.4200,37,37,3700,15898.60,9424.80,-0.0270
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,6,5,9,True,0.1816,16,16,1600,15405.20,18309.80,-0.1030
pop100_gen500_mut0.01_elite0_tour2,100,500,0.0100,0,2,6,5,10,True,0.1387,12,12,1200,15406.40,8980.60,-0.0580
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,6,5,1,True,0.1309,10,10,1000,15878.20,9459.40,-0.0380
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,6,5,2,True,0.2054,17,17,1700,15902.40,9501.00,-0.0410
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,6,5,3,True,0.0641,6,6,600,15863.60,4748.00,-0.0190
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,6,5,4,True,0.1900,18,18,1800,15901.20,14359.60,-0.0130
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,6,5,5,True,0.0710,6,6,600,15873.20,4688.40,-0.0240
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,6,5,6,True,0.0235,2,2,200,15868.60,4658.40,-0.0040
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,6,5,7,True,0.0120,1,1,100,15873.60,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,6,5,8,True,0.2348,21,21,2100,15888.20,9464.20,-0.0480
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,6,5,9,True,0.0234,2,2,200,15892.80,4731.40,-0.0040
pop100_gen500_mut0.01_elite0_tour3,100,500,0.0100,0,3,6,5,10,True,0.1332,12,12,1200,15908.20,4871.00,-0.0330
pop100_gen500_mut0.01_elite0_tour5,100,500,0.0100,0,5,6,5,1,True,0.0563,5,5,500,15862.00,4688.40,-0.0310
pop100_gen500_mut0.01_elite0_tour5,100,500,0.0100,0,5,6,5,2,True,0.0438,4,4,400,15873.20,4664.00,-0.0340
pop100_gen500_mut0.01_elite0_tour5,100,500,0.0100,0,5,6,5,3,True,0.2448,22,22,2200,15908.20,9664.40,-0.0240
pop100_gen500_mut0.01_elite0_tour5,100,500,0.0100,0,5,6,5,4,True,0.1842,16,16,1600,15903.60,9495.20,-0.0050
pop100_gen500_mut0.01_elite0_tour5,100,500,0.0100,0,5,6,5,5,True,0.1048,9,9,900,15873.60,4688.80,-0.0370
pop100_gen500_mut0.01_elite0_tour5,100,500,0.0100,0,5,6,5,6,True,0.0907,8,8,800,15877.80,14118.80,-0.0620
pop100_gen500_mut0.01_elite0_tour5,100,500,0.0100,0,5,6,5,7,True,0.1526,13,13,1300,15899.00,14102.00,-0.0060
pop100_gen500_mut0.01_elite0_tour5,100,500,0.0100,0,5,6,5,8,True,0.0124,1,1,100,15904.00,0.00,0.0000
pop100_gen500_mut0.01_elite0_tour5,100,500,0.0100,0,5,6,5,9,True,0.1871,17,17,1700,15887.80,14246.60,-0.0460
pop100_gen500_mut0.01_elite0_tour5,100,500,0.0100,0,5,6,5,10,True,0.0546,5,5,500,15863.60,4748.00,-0.0180
pop200_gen500_mut0.01_elite0_tour2,200,500,0.0100,0,2,6,5,1,True,1.0839,34,34,6800,15920.80,14444.00,-0.0500
pop200_gen500_mut0.01_elite0_tour2,200,500,0.0100,0,2,6,5,2,True,0.2481,8,8,1600,15902.80,14417.60,-0.0670
pop200_gen500_mut0.01_elite0_tour2,200,500,0.0100,0,2,6,5,3,True,0.2233,7,7,1400,15887.40,9417.00,-0.0650
pop200_gen500_mut0.01_elite0_tour2,200,500,0.0100,0,2,6,5,4,True,1.3137,40,40,8000,15892.80,9549.40,-0.0450
pop200_gen500_mut0.01_elite0_tour2,200,500,0.0100,0,2,6,5,5,True,0.3449,11,11,2200,15897.80,14344.60,-0.0860
pop200_gen500_mut0.01_elite0_tour2,200,500,0.0100,0,2,6,5,6,True,0.1882,6,6,1200,15882.40,9349.80,-0.0490
pop200_gen500_mut0.01_elite0_tour2,200,500,0.0100,0,2,6,5,7,True,0.6115,19,19,3800,15903.20,4870.20,-0.0710
pop200_gen500_mut0.01_elite0_tour2,200,500,0.0100,0,2,6,5,8,True,0.0649,2,2,400,15879.40,4683.40,-0.0040
pop200_gen500_mut0.01_elite0_tour2,200,500,0.0100,0,2,6,5,9,True,0.3196,10,10,2000,15908.20,9586.80,-0.0540
pop200_gen500_mut0.01_elite0_tour2,200,500,0.0100,0,2,6,5,10,True,0.1872,6,6,1200,15892.00,4752.60,-0.0430
pop200_gen500_mut0.01_elite0_tour3,200,500,0.0100,0,3,6,5,1,True,0.2873,9,9,1800,15901.60,9535.00,-0.0540
pop200_gen500_mut0.01_elite0_tour3,200,500,0.0100,0,3,6,5,2,True,0.2567,8,8,1600,15889.00,9448.80,-0.0960
pop200_gen500_mut0.01_elite0_tour3,200,500,0.0100,0,3,6,5,3,True,0.0991,3,3,600,15873.20,4688.40,-0.0100
pop200_gen500_mut0.01_elite0_tour3,200,500,0.0100,0,3,6,5,4,True,0.3073,10,10,2000,15887.80,14168.80,-0.0340
pop200_gen500_mut0.01_elite0_tour3,200,500,0.0100,0,3,6,5,5,True,0.2885,9,9,1800,15899.00,14102.00,-0.0360
pop200_gen500_mut0.01_elite0_tour3,200,500,0.0100,0,3,6,5,6,True,0.0330,1,1,200,15870.20,0.00,0.0000
pop200_gen500_mut0.01_elite0_tour3,200,500,0.0100,0,3,6,5,7,True,0.2044,6,6,1200,15882.40,9349.80,-0.0480
pop200_gen500_mut0.01_elite0_tour3,200,500,0.0100,0,3,6,5,8,True,0.5805,18,18,3600,15883.60,9414.00,-0.0330
pop200_gen500_mut0.01_elite0_tour3,200,500,0.0100,0,3,6,5,9,True,0.1591,5,5,1000,15879.40,4683.40,-0.0200
pop200_gen500_mut0.01_elite0_tour3,200,500,0.0100,0,3,6,5,10,True,0.2476,8,8,1600,15888.20,18783.60,-0.0730
pop200_gen500_mut0.01_elite0_tour5,200,500,0.0100,0,5,6,5,1,True,0.1548,5,5,1000,15882.80,14107.20,-0.0550
pop200_gen500_mut0.01_elite0_tour5,200,500,0.0100,0,5,6,5,2,True,0.1520,5,5,1000,15878.60,14046.20,-0.0350
pop200_gen500_mut0.01_elite0_tour5,200,500,0.0100,0,5,6,5,3,True,0.2759,9,9,1800,15912.00,14306.80,-0.0560
pop200_gen500_mut0.01_elite0_tour5,200,500,0.0100,0,5,6,5,4,True,0.1853,6,6,1200,15892.80,14173.00,-0.0730
pop200_gen500_mut0.01_elite0_tour5,200,500,0.0100,0,5,6,5,5,True,0.2961,9,9,1800,15892.00,9439.60,-0.0510
pop200_gen500_mut0.01_elite0_tour5,200,500,0.0100,0,5,6,5,6,True,0.1879,6,6,1200,15409.00,13923.80,-0.0490
pop200_gen500_mut0.01_elite0_tour5,200,500,0.0100,0,5,6,5,7,True,0.1579,5,5,1000,15878.20,9424.80,-0.0430
pop200_gen500_mut0.01_elite0_tour5,200,500,0.0100,0,5,6,5,8,True,0.2523,8,8,1600,15884.00,9599.80,-0.0840
pop200_gen500_mut0.01_elite0_tour5,200,500,0.0100,0,5,6,5,9,True,0.1591,5,5,1000,15409.00,13923.80,-0.0580
pop200_gen500_mut0.01_elite0_tour5,200,500,0.0100,0,5,6,5,10,True,0.1232,4,4,800,15881.20,9383.40,-0.0470
