config_id,pop_size,generations,mut_rate,elite,tour_k,board_size,num_colors,run_number,success,time,generations_executed,generations_to_solution,fitness_evals,final_fitness,fitness_improvement,diversity_loss
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,4,3,1,True,0.0166,2,2,300,9554.00,4623.40,-0.0050
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,4,3,2,True,0.0163,2,2,300,9554.00,4683.40,-0.0100
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,4,3,3,True,0.0334,4,4,600,9554.00,4683.40,-0.0370
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,4,3,4,True,0.0153,2,2,300,9568.60,4741.40,-0.0120
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,4,3,5,True,0.0090,1,1,150,9559.40,0.00,0.0000
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,4,3,6,True,0.0093,1,1,150,9554.00,0.00,0.0000
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,4,3,7,True,0.0381,5,5,750,9554.40,4738.00,-0.0320
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,4,3,8,True,0.0157,2,2,300,9549.40,4623.40,-0.0070
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,4,3,9,True,0.0325,4,4,600,9554.40,4738.00,-0.0300
pop150_gen800_mut0.02_elite1_tour2,150,800,0.0200,1,2,4,3,10,True,0.0180,2,2,300,9554.40,4623.40,-0.0040
pop150_gen800_mut0.02_elite1_tour3,150,800,0.0200,1,3,4,3,1,True,0.0092,1,1,150,9559.40,0.00,0.0000
pop150_gen800_mut0.02_elite1_tour3,150,800,0.0200,1,3,4,3,2,True,0.0313,4,4,600,9544.40,4663.40,-0.0130
pop150_gen800_mut0.02_elite1_tour3,150,800,0.0200,1,3,4,3,3,True,0.0229,3,3,450,9568.60,9407.80,-0.0350
